,allergy_id,substitute
0,a002,Tofu fish (‘tofish’)
1,a002,Smoked carrot salmon
2,a002,Banana blossom fish
3,a002,Jackfruit tuna
4,a002,"Seitan scampi, prawns, and shrimp"
5,a002,Vegan fish sticks and fillets
6,a002,Garbanzo bean fish-less cakes
7,a002,Mushroom fish pie
8,a002,Teriyaki chicken sushi rolls
9,a002,Fish sauce and flavorings
10,a001, Mashed banana
11,a001, Applesauce
12,a001, Fruit puree 
13,a001, Avocado
14,a001, Gelatin
15,a001, Xanthan gum
16,a001, Vegetable oil and baking powder 
17,a001, Margarine
18,a001, Flaxseeds
19,a001, Chia seeds
20,a001, Seeds and baking powder
21,a001, Powdered egg replacements
22,a001, Chickpea flour
23,a001, Firm tofu
24,a001, White beans
25,a001, Scrambled tofu
26,a003,BeLeaf: Plant-based shrimp
27,a003,Gardein: Fish-less filets and mini crab-less cakes
28,a003,"Good Catch: Fish-free tuna, crab cakes, fish-free fillets & burgers"
29,a003,Jinka: Plant-based tuna
30,a003,Loma Linda: Plant-based tuna
31,a003,New Wave: Plant-based shrimp
32,a003,Ocean Hugger Foods: Plant-based “raw” ahi
33,a003,Quorn: Fish-less sticks
34,a003,"Sophie’s Kitchen: Plant-based shrimp, smoked salmon, crab cakes, fish fillet"
35,a006,Milk and eggs
36,a006,Beans
37,a006,Nuts
38,a006,Seitan
39,a006,Whole wheat
40,a006,Quinoa
41,a006,Flaxseed
42,a006,Oat bran
43,a004,Lactose-Free Milk
44,a004,Goat’s Milk
45,a004,Rice Milk
46,a004,Hemp Milk
47,a004,Almond Milk
48,a004,Soy Milk
49,a004,Oat Milk
50,a004,Coconut Milk
51,a004,Cashew Milk
52,a004,Pea Milk
53,a005, Oopsie Bread
54,a005, Ezekiel Bread
55,a005, Corn Tortillas
56,a005, Rye Bread
57,a005, Lettuce and Leafy Greens
58,a005, Sweet Potatoes and Vegetables
59,a005, Butternut Squash or Sweet Potato Flatbread
60,a005, Cauliflower Bread or Pizza Crust
61,a005, Eggs
62,a005, Sourdough Bread
63,a007,Sesame seeds
64,a007,Sunflower seeds
65,a007,Pumpkin and squash seeds
66,a007,Hemp seeds and hemp hearts
67,a007,Watermelon seeds
68,a007,Chia seeds
69,a007,Flax seeds
70,a007,Pomegranate seeds
71,a007,Papaya
72,a008,Sesame seeds
73,a008,Sunflower seeds
74,a008,Pumpkin and squash seeds
75,a008,Hemp seeds and hemp hearts
76,a008,Watermelon seeds
77,a008,Chia seeds
78,a008,Flax seeds
79,a008,Pomegranate seeds
80,a008,Papaya
